movie_title,gross,budget,title_year,genre,IMDB_high
The Conspirator,11.538204,25,2010,Crime,YES
Finding Forrester,51.768623,43,2000,Drama,YES
The Hebrew Hammer,0.019539,1,2003,Comedy,NO
The R.M.,1.111615,0.5,2003,Comedy,NO
Bandidas,47.23378622,32,2006,Action,NO
Spring Breakers,14.123773,5,2012,Crime,NO
Suspect Zero,8.712564,27,2004,Crime,NO
Sinbad: Legend of the Seven Seas,26.28832,60,2003,Adventure,NO
The Vow,125.01403,30,2012,Drama,NO
Cyrus,7.455447,7,2010,Comedy,NO
College,4.693919,6.5,2008,Comedy,NO
Skin Trade,0.000162,9,2014,Action,NO
"O Brother, Where Art Thou?",45.506619,26,2000,Adventure,YES
Joyeux Noel,1.050445,22,2005,Drama,YES
Four Christmases,120.136047,80,2008,Comedy,NO
Hotel Rwanda,23.4729,17.5,2004,Drama,YES
"Lovely, Still",0.12472,5,2008,Drama,YES
Dawn of the Dead,58.885635,26,2004,Action,YES
Boogeyman,46.363118,20,2005,Drama,NO
Live-In Maid,47.23378622,0.8,2004,Drama,YES
Harrison Montgomery,47.23378622,0.85,2008,Drama,YES
The Astronaut Farmer,10.99644,13,2006,Adventure,NO
The Painted Veil,8.04769,19.4,2006,Drama,YES
The Brothers Grimm,37.899638,88,2005,Action,NO
Latter Days,0.819939,0.85,2003,Comedy,YES
The Railway Man,4.435083,18,2013,Biography,YES
All Superheroes Must Die,47.23378622,0.02,2011,Other,NO
Get on Up,30.51394,30,2014,Biography,NO
Gangster Squad,45.996718,60,2013,Action,NO
Two Weeks Notice,93.307796,60,2002,Comedy,NO
Cast Away,233.630478,90,2000,Adventure,YES
Da Sweet Blood of Jesus,47.23378622,1.42,2014,Comedy,NO
Obitaemyy ostrov,47.23378622,29.5,2009,Action,NO
2 Fast 2 Furious,127.083765,76,2003,Action,NO
Inception,292.568851,160,2010,Action,YES
A Mighty Heart,9.17281,16,2007,Biography,NO
Alex & Emma,14.208384,30,2003,Comedy,NO
The Last Samurai,111.110575,140,2003,Action,YES
The Young and Prodigious T.S. Spivet,0.099462,33,2013,Action,YES
Supernova,14.218868,65,2000,Horror,NO
Cadillac Records,8.134217,12,2008,Biography,YES
The Legend of Zorro,45.356386,75,2005,Action,NO
Everything Put Together,47.23378622,0.1,2000,Drama,NO
Delgo,0.51192,40,2008,Adventure,NO
The Purge,64.42365,3,2013,Horror,NO
Indie Game: The Movie,47.23378622,0.1,2012,Documentary,YES
Mutual Appreciation,47.23378622,44.87003308,2005,Comedy,NO
The Blue Room,0.231186,44.87003308,2014,Crime,NO
Bachelorette,0.418268,3,2012,Comedy,NO
The Matrix Revolutions,139.259759,150,2003,Action,NO
Kill the Messenger,2.445646,5,2014,Biography,YES
Abandon,10.719367,25,2002,Drama,NO
Food Chains,47.23378622,0.913,2014,Documentary,YES
Chain Letter,0.143,5,2009,Horror,NO
Malevolence,47.23378622,0.2,2003,Crime,NO
Kiss the Bride,0.031937,0.5,2007,Comedy,NO
Prom,10.106233,8,2011,Comedy,NO
The Core,31.11126,60,2003,Action,NO
Hanging Up,36.037909,60,2000,Comedy,NO
Stuart Little 2,64.736114,120,2002,Adventure,NO
Stomp the Yard,61.356221,14,2007,Drama,NO
Far from Men,47.23378622,7.7,2014,Drama,YES
Redacted,0.065087,5,2007,Crime,NO
Mao's Last Dancer,4.80675,44.87003308,2009,Biography,YES
Girl with a Pearl Earring,11.634362,44.87003308,2003,Biography,YES
Body of Lies,39.380442,70,2008,Action,YES
Super Size Me,11.529368,0.065,2004,Comedy,YES
Funny Ha Ha,47.23378622,44.87003308,2002,Comedy,NO
Captain Alatriste: The Spanish Musketeer,47.23378622,24,2006,Adventure,NO
Doogal,7.382993,20,2006,Adventure,NO
Sideways,71.502303,12,2004,Adventure,YES
Hum To Mohabbat Karega,47.23378622,44.87003308,2000,Action,NO
The Proposition,1.900725,2,2005,Crime,YES
Silent House,12.55523,2,2011,Drama,NO
The Wave,47.23378622,5,2008,Drama,YES
Decoys,47.23378622,5,2004,Comedy,NO
Killers,47.000485,75,2010,Action,NO
Biutiful,5.100937,44.87003308,2010,Drama,YES
Disturbia,80.050171,20,2007,Drama,NO
"Cinco de Mayo, La Batalla",0.169379,10,2013,Drama,NO
Bridesmaids,169.076745,32.5,2011,Comedy,NO
Half Nelson,2.694973,0.7,2006,Drama,YES
The Cottage,47.23378622,2.5,2008,Comedy,NO
Mr 3000,21.800302,30,2004,Comedy,NO
Lost Souls,16.779636,28,2000,Drama,NO
The Class,3.766595,44.87003308,2008,Drama,YES
Dolphin Tale 2,42.019483,36,2014,Drama,NO
Blue Car,0.464126,1,2002,Drama,NO
The Believer,0.406035,1.5,2001,Drama,YES
Jeepers Creepers,37.470017,10,2001,Horror,NO
"Batman: The Dark Knight Returns, Part 2",47.23378622,3.5,2013,Action,YES
Red Riding: In the Year of Our Lord 1974,47.23378622,44.87003308,2009,Crime,YES
"I, Frankenstein",19.059018,65,2014,Action,NO
Vantage Point,72.266306,40,2008,Crime,NO
Johnny English,27.97241,35,2003,Action,NO
Real Women Have Curves,5.844929,3,2002,Comedy,YES
Jarhead,62.64754,70,2005,Action,YES
Repo! The Genetic Opera,0.140244,8.5,2008,Horror,NO
88 Minutes,16.930884,30,2007,Crime,NO
Snow Dogs,81.150692,35,2002,Adventure,NO
Coraline,75.280058,60,2009,Animation,YES
Waitress,19.067631,2,2007,Comedy,YES
Love Ranch,0.134904,25,2010,Comedy,NO
Jersey Boys,47.034272,40,2014,Biography,NO
Little Nicky,39.442871,80,2000,Comedy,NO
Take Shelter,1.729969,5,2011,Drama,YES
The Country Bears,16.988996,35,2002,Comedy,NO
Jeepers Creepers II,35.143332,17,2003,Horror,NO
Super,0.322157,2.5,2010,Comedy,NO
American Gangster,130.12762,100,2007,Biography,YES
Reign of Fire,43.060566,60,2002,Action,NO
Race to Witch Mountain,67.128202,65,2009,Action,NO
Hedwig and the Angry Inch,3.029081,6,2001,Comedy,YES
In the Name of the King: A Dungeon Siege Tale,4.535117,60,2007,Action,NO
The Golden Compass,70.083519,180,2007,Adventure,NO
The Christmas Candle,2.209479,44.87003308,2013,Drama,NO
Charlie and the Chocolate Factory,206.456431,150,2005,Adventure,NO
Oz the Great and Powerful,234.903076,215,2013,Adventure,NO
Les Misérables,148.77546,61,2012,Drama,YES
Shortbus,1.984378,2,2006,Comedy,NO
Easy Money,0.18887,44.87003308,2010,Action,NO
Country Strong,20.218921,15,2010,Drama,NO
The Hunger Games,407.999255,78,2012,Adventure,YES
The Tourist,67.631157,100,2010,Action,NO
The Amazing Spider-Man,262.030663,230,2012,Action,YES
Small Time Crooks,17.07123,18,2000,Comedy,NO
Ayurveda: Art of Being,0.016892,0.3,2001,Documentary,YES
The Purge: Anarchy,71.51923,9,2014,Action,NO
The History Boys,2.706659,2,2006,Comedy,NO
Saint John of Las Vegas,0.100669,3.8,2009,Comedy,NO
Bedazzled,37.879996,48,2000,Comedy,NO
The Animal,55.762229,22,2001,Comedy,NO
Sabotage,10.499968,35,2014,Action,NO
The Matador,12.570442,10,2005,Comedy,NO
Escape from Tomorrow,0.169719,44.87003308,2013,Other,NO
Living Dark: The Story of Ted the Caver,47.23378622,1.75,2013,Horror,NO
Brokeback Mountain,83.025853,14,2005,Drama,YES
Frozen,400.7366,150,2013,Adventure,YES
Barry Munday,47.23378622,44.87003308,2010,Comedy,NO
Master and Commander: The Far Side of the World,93.926386,150,2003,Action,YES
Basic,26.53612,50,2003,Action,NO
Charlie St. Cloud,31.13695,44,2010,Drama,NO
Winter's Bone,6.531491,2,2010,Drama,YES
8 Days,47.23378622,2.5,2014,Drama,NO
The Divide,0.022,3,2011,Drama,NO
The Unborn,42.638165,16,2009,Drama,NO
Mr. Turner,3.9585,8.2,2014,Biography,NO
The Mudge Boy,47.23378622,0.8,2003,Crime,YES
The Grand Budapest Hotel,59.073773,25,2014,Adventure,YES
Drumline,56.398162,20,2002,Comedy,NO
Certifiably Jonathan,0.007826,1.2,2007,Comedy,NO
Scoop,10.515579,4,2006,Comedy,NO
Stop-Loss,10.91175,25,2008,Drama,NO
The Quiet,0.381186,0.9,2005,Drama,NO
The Butterfly Effect,0.023947,13,2004,Other,YES
L!fe Happens,0.020186,0.93,2011,Comedy,NO
Sky High,63.939454,35,2005,Adventure,NO
Halloween II,33.386128,15,2009,Horror,NO
Planet of the Apes,180.01174,100,2001,Action,NO
Appaloosa,20.207003,44.87003308,2008,Crime,NO
A Plague So Pleasant,47.23378622,0.0014,2013,Drama,NO
Morvern Callar,0.267194,44.87003308,2002,Drama,NO
Harry Potter and the Sorcerer's Stone,317.557891,125,2001,Adventure,YES
I Love Your Work,0.00258,1.65,2003,Drama,NO
The Water Diviner,4.19053,22.5,2014,Drama,YES
Black or White,21.569041,9,2014,Drama,NO
Paranormal Activity 2,84.749884,3,2010,Horror,NO
Isn't She Great,2.954405,36,2000,Biography,NO
The Green Inferno,7.18667,6,2013,Adventure,NO
The Interview,6.105175,44,2014,Comedy,NO
Dallas Buyers Club,27.296514,5,2013,Biography,YES
My Bloody Valentine,51.527787,15,2009,Horror,NO
Hesher,0.382946,7,2010,Drama,YES
Wordplay,3.117666,44.87003308,2006,Documentary,YES
We Own the Night,28.563179,21,2007,Crime,NO
The Eclipse,0.128937,44.87003308,2009,Drama,NO
Brothers,28.501651,26,2009,Drama,YES
Hugo,73.820094,170,2011,Adventure,YES
Spy Kids 3-D: Game Over,111.760631,38,2003,Action,NO
Beasts of the Southern Wild,12.784397,1.8,2012,Drama,YES
Dreamcatcher,33.685268,68,2003,Drama,NO
An American Haunting,16.298046,14,2005,Horror,NO
Escape Plan,25.121291,50,2013,Action,NO
Freakonomics,0.100675,3,2010,Documentary,NO
The Adventures of Pluto Nash,4.411102,100,2002,Action,NO
The Little Vampire,13.555988,22,2000,Adventure,NO
Nightcrawler,32.279955,8.5,2014,Crime,YES
Bled,47.23378622,0.75,2009,Horror,NO
Kites,1.602466,600,2010,Action,NO
High Fidelity,27.277055,20,2000,Comedy,YES
Wild Target,0.11719,8,2010,Action,NO
Snow Angels,0.40282,44.87003308,2007,Drama,NO
Vamps,0.002964,16,2012,Comedy,NO
Transformers,318.759914,150,2007,Action,YES
The Nutcracker in 3D,0.190562,90,2010,Action,NO
Hidden Away,47.23378622,44.87003308,2014,Drama,YES
Road Trip,68.525609,15.6,2000,Comedy,NO
Furry Vengeance,17.596256,35,2010,Comedy,NO
Imagine Me & You,0.67124,7.9,2005,Comedy,NO
Project X,54.724272,12,2012,Comedy,NO
Closer,33.987757,27,2004,Drama,YES
De-Lovely,13.337299,20,2004,Biography,NO
Killing Them Softly,14.93857,15,2012,Crime,NO
The Passion of the Christ,0.499263,30,2004,Drama,YES
The Last King of Scotland,17.605861,6,2006,Biography,YES
Pain & Gain,49.874933,26,2013,Comedy,NO
Angel Eyes,24.044532,38,2001,Drama,NO
License to Wed,43.792641,35,2007,Comedy,NO
Brigham City,0.798341,1,2001,Crime,YES
I Hope They Serve Beer in Hell,1.425993,44.87003308,2009,Comedy,NO
Blood Diamond,57.366262,100,2006,Adventure,YES
Little Nicholas,47.23378622,44.87003308,2009,Comedy,YES
Persepolis,4.443403,7.3,2007,Animation,YES
Bending Steel,47.23378622,0.05,2013,Documentary,YES
Aberdeen,0.064148,6.5,2000,Drama,YES
Day One,47.23378622,3.4,2012,Biography,NO
Rubber,0.098017,0.5,2010,Comedy,NO
DOA: Dead or Alive,0.480314,21,2006,Action,NO
Taken,145.000989,25,2008,Action,YES
Hall Pass,45.045037,36,2011,Comedy,NO
Spirited Away,10.049886,19,2001,Adventure,YES
The Mothman Prophecies,35.228696,32,2002,Drama,NO
Curious George,58.336565,50,2006,Adventure,NO
Flushed Away,64.459316,149,2006,Adventure,NO
My Super Ex-Girlfriend,22.526144,30,2006,Comedy,NO
Juno,143.49284,7.5,2007,Comedy,YES
Faster,23.225911,24,2010,Action,NO
Nine Queens,1.221261,1.5,2000,Crime,YES
Journey to Saturn,47.23378622,44.87003308,2008,Action,NO
Guess Who,67.962333,35,2005,Comedy,NO
The Legend of Hercules,18.821279,70,2014,Action,NO
The Night Listener,7.82582,4,2006,Crime,NO
Sherlock Holmes,209.019489,90,2009,Action,YES
Wish I Was Here,3.588432,6,2014,Comedy,NO
The Assassination of Jesse James by the Coward Robert Ford,3.904982,30,2007,Biography,YES
Final Destination 3,54.098051,25,2006,Horror,NO
Impact Point,47.23378622,2.2,2008,Other,NO
The Sisterhood of the Traveling Pants 2,44.087387,44.87003308,2008,Comedy,NO
The Mongol King,47.23378622,0.00325,2005,Crime,YES
If I Stay,50.461335,11,2014,Drama,NO
Crossroads,37.188667,12,2002,Comedy,NO
The Secret Life of Bees,37.76635,11,2008,Drama,YES
The Hills Have Eyes II,20.801344,15,2007,Horror,NO
The Banger Sisters,30.306281,10,2002,Comedy,NO
What Women Want,182.805123,70,2000,Comedy,NO
Carriers,0.09082,44.87003308,2009,Drama,NO
The Imaginarium of Doctor Parnassus,7.689458,40,2009,Adventure,NO
Kung Fu Panda,215.395021,130,2008,Action,YES
Mercy Streets,0.171988,0.6,2000,Action,NO
Pride & Prejudice,38.372662,28,2005,Drama,YES
Thor,181.015141,150,2011,Action,YES
The Lords of Salem,1.163508,2.5,2012,Drama,NO
Primer,0.42476,0.007,2004,Drama,YES
Water for Elephants,58.700247,38,2011,Drama,NO
Open Road,47.23378622,3,2013,Action,NO
The Savages,6.610326,44.87003308,2007,Comedy,YES
Burn,0.1113,0.225,2012,Documentary,YES
Austin Powers in Goldmember,213.079163,63,2002,Action,NO
Edmond,0.131617,10,2005,Drama,NO
Half Past Dead,15.361537,13,2002,Action,NO
Zookeeper,80.360866,80,2011,Comedy,NO
Yes Man,97.680195,70,2008,Comedy,NO
Short Cut to Nirvana: Kumbh Mela,0.381225,0.2,2004,Documentary,YES
Highlander: Endgame,12.80119,15,2000,Action,NO
Straight A's,47.23378622,2,2013,Comedy,NO
High Crimes,41.543207,42,2002,Crime,NO
Philomena,37.707719,12,2013,Biography,YES
Just Visiting,4.777007,40,2001,Comedy,NO
Monster,34.468224,4.5,2003,Biography,YES
Get Low,9.176553,7.5,2009,Drama,YES
The Guilt Trip,37.101011,40,2012,Comedy,NO
War,22.466994,25,2007,Action,NO
Win a Date with Tad Hamilton!,16.964743,24,2004,Comedy,NO
Everything Must Go,2.71121,5,2010,Comedy,NO
The Help,169.705587,25,2011,Drama,YES
Identity Thief,134.455175,35,2013,Comedy,NO
Olympus Has Fallen,98.895417,70,2013,Action,NO
Hachi: A Dog's Tale,47.23378622,16,2009,Drama,YES
Everybody's Fine,8.855646,21,2009,Adventure,YES
Say It Isn't So,5.516708,25,2001,Comedy,NO
G.I. Joe: Retaliation,122.512052,130,2013,Action,NO
Cold Mountain,95.632614,79,2003,Adventure,YES
The Cry of the Owl,47.23378622,11.5,2009,Drama,NO
Somewhere,1.768416,7,2010,Comedy,NO
Ira & Abby,0.220234,3.5,2006,Comedy,NO
5 Days of War,0.017149,20,2011,Action,NO
Larry the Cable Guy: Health Inspector,15.655665,4,2006,Comedy,NO
Fury,85.707116,68,2014,Action,YES
Blood Done Sign My Name,0.082739,44.87003308,2010,Drama,NO
Men of Honor,48.814909,32,2000,Biography,YES
The Last Station,6.615578,13,2009,Biography,YES
TRON: Legacy,172.051787,170,2010,Action,NO
A Better Life,1.754319,10,2011,Drama,YES
The Act of Killing,0.484221,1,2012,Biography,YES
2 Guns,75.5733,61,2013,Action,NO
The Island,35.799026,126,2005,Action,NO
Kill Bill: Vol. 2,66.20792,30,2004,Action,YES
Miss Congeniality 2: Armed and Fabulous,48.472213,45,2005,Action,NO
Treasure Planet,38.120554,140,2002,Adventure,YES
Super Troopers,18.488314,1.2,2001,Comedy,YES
Big Momma's House,117.559438,30,2000,Action,NO
Paparazzi,15.712072,20,2004,Action,NO
Sanctum,23.070045,30,2011,Adventure,NO
Fun with Dick and Jane,110.332737,100,2005,Comedy,NO
Grudge Match,29.802761,40,2013,Comedy,NO
All Good Things,0.578382,44.87003308,2010,Crime,NO
Trash,0.01023,44.87003308,2014,Adventure,YES
When the Game Stands Tall,30.127963,15,2014,Drama,NO
Beauty Shop,36.310118,44.87003308,2005,Comedy,NO
Once Upon a Time in Queens,47.23378622,1.5,2013,Comedy,NO
My Sister's Keeper,49.185998,30,2009,Drama,YES
The Possession,49.122319,14,2012,Horror,NO
Nim's Island,48.006503,37,2008,Adventure,NO
Jackass Number Two,72.755517,44.87003308,2006,Action,YES
Elza,47.23378622,0.9,2011,Drama,NO
Being Julia,7.739049,18,2004,Comedy,YES
Royal Kill,47.23378622,0.35,2009,Action,NO
The Boy in the Striped Pajamas,9.030581,12.5,2008,Drama,YES
Dil Jo Bhi Kahey...,0.129319,70,2005,Other,NO
Slackers,4.814244,11,2002,Comedy,NO
Sabotage,10.499968,35,2014,Action,NO
Yes,0.396035,1,2004,Drama,NO
Don McKay,47.23378622,44.87003308,2009,Drama,NO
Hansel & Gretel: Witch Hunters,55.68207,50,2013,Action,NO
Valley of the Wolves: Iraq,47.23378622,8.3,2006,Action,NO
Pacific Rim,101.785482,190,2013,Action,YES
On the Line,4.356743,16,2001,Comedy,NO
The Family Stone,6.061759,17,2005,Comedy,NO
Pay It Forward,33.508922,40,2000,Drama,YES
Give Me Shelter,47.23378622,0.25,2014,Documentary,YES
All the Real Girls,0.548712,2.5,2003,Drama,NO
Jurassic Park III,181.166115,93,2001,Action,NO
Avatar,760.505847,237,2009,Action,YES
Glory Road,42.643187,44.87003308,2006,Biography,YES
Life as a House,15.561627,18,2001,Drama,YES
Role Models,67.2663,28,2008,Comedy,NO
A Haunted House,40.041683,2.5,2013,Comedy,NO
The Day the Earth Stood Still,79.363785,80,2008,Drama,NO
Now Is Good,47.23378622,44.87003308,2012,Drama,YES
Honey,30.22264,25,2003,Drama,NO
Glitter,4.273372,22,2001,Drama,NO
The Theory of Everything,35.887263,15,2014,Biography,YES
The Bourne Identity,121.46896,60,2002,Action,YES
The City of Your Final Destination,47.23378622,8.3,2009,Drama,NO
Maleficent,241.407328,180,2014,Action,YES
Paa,0.199228,150,2009,Comedy,YES
City of Life and Death,0.119922,12,2009,Drama,YES
The Shipping News,11.405825,35,2001,Drama,NO
The Hunger Games: Mockingjay - Part 1,337.103873,125,2014,Adventure,NO
Girls Gone Dead,47.23378622,0.5,2012,Comedy,NO
Thomas and the Magic Railroad,15.911333,19,2000,Adventure,NO
I Dreamed of Africa,6.543194,34,2000,Adventure,NO
Supporting Characters,47.23378622,44.87003308,2012,Comedy,NO
The Emperor's Club,14.06095,12.5,2002,Drama,NO
Celeste & Jesse Forever,3.094687,44.87003308,2012,Comedy,NO
The East,2.268296,6.5,2013,Drama,NO
Serenity,25.335935,40,2005,Action,YES
Shade,0.010696,6.8,2003,Crime,NO
Hollow Man,73.20934,95,2000,Action,NO
Max Payne,40.687294,35,2008,Action,NO
Pirates of the Caribbean: On Stranger Tides,241.063875,250,2011,Action,NO
November,0.191309,0.15,2004,Drama,NO
I Spit on Your Grave,0.092401,2,2010,Horror,NO
TRON: Legacy,172.051787,170,2010,Action,NO
Charlie Wilson's War,66.636385,75,2007,Biography,YES
Miss Potter,2.975649,30,2006,Biography,YES
Happily N'Ever After,15.519841,47,2006,Adventure,NO
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,47.23378622,3,2013,Comedy,NO
Jesus People,47.23378622,44.87003308,2007,Comedy,NO
Away We Go,9.430988,17,2009,Comedy,YES
Osmosis Jones,13.596911,70,2001,Action,NO
Redbelt,2.344847,7,2008,Drama,NO
Fantastic Mr. Fox,20.999103,40,2009,Adventure,YES
The Pursuit of Happyness,162.586036,55,2006,Biography,YES
Ultraviolet,18.500966,30,2006,Action,NO
Far from Heaven,15.854988,13.5,2002,Drama,YES
Under the Same Moon,12.589108,44.87003308,2007,Adventure,YES
The Invasion,15.071514,80,2007,Other,NO
Pooh's Heffalump Movie,18.081626,20,2005,Animation,NO
The Ugly Truth,88.915214,38,2009,Comedy,NO
Raise Your Voice,10.41198,15,2004,Other,NO
Darkness Falls,32.131483,11,2003,Horror,NO
The Namesake,13.569248,44.87003308,2006,Drama,YES
Sex Drive,8.396942,19,2008,Adventure,NO
Silmido,47.23378622,8,2003,Action,YES
The Baader Meinhof Complex,0.47627,20,2008,Action,YES
Monsters,0.237301,0.5,2010,Drama,NO
"I, Robot",144.79535,120,2004,Action,YES
The Matrix Reloaded,281.492479,150,2003,Action,YES
A Walk Among the Tombstones,25.977365,28,2014,Crime,NO
The Bounty Hunter,67.061228,40,2010,Action,NO
Harry Potter and the Chamber of Secrets,261.970615,100,2002,Adventure,YES
The Work and the Story,47.23378622,0.103,2003,Comedy,NO
Side Effects,32.15441,30,2013,Crime,YES
Romance & Cigarettes,0.540085,44.87003308,2005,Comedy,NO
"Definitely, Maybe",31.97384,44.87003308,2008,Comedy,YES
Party Monster,0.296665,5,2003,Biography,NO
Contraband,66.489425,25,2012,Action,NO
The Canyons,0.049494,0.25,2013,Drama,NO
A Shine of Rainbows,47.23378622,6,2009,Drama,YES
Howl's Moving Castle,4.710455,24,2004,Adventure,YES
Sorority Boys,10.198766,12,2002,Comedy,NO
One Day,13.766014,15,2011,Drama,YES
Precious,47.536959,10,2009,Drama,YES
We Need to Talk About Kevin,1.738692,7,2011,Drama,YES
Chicken Tikka Masala,47.23378622,1.2,2005,Comedy,NO
On the Road,0.717753,25,2012,Adventure,NO
Guiana 1838,0.227241,44.87003308,2004,Drama,YES
This Is Martin Bonner,47.23378622,0.042,2013,Drama,NO
Ballistic: Ecks vs. Sever,14.294842,70,2002,Action,NO
Walk the Line,119.518352,28,2005,Biography,YES
The Fast and the Furious,144.51231,38,2001,Action,NO
Igby Goes Down,4.681503,9,2002,Comedy,YES
The Ten,0.766487,5.25,2007,Comedy,NO
Unfriended,31.53732,1,2014,Horror,NO
Never Again,0.295468,0.5,2001,Comedy,NO
Planet of the Apes,180.01174,100,2001,Action,NO
Knockaround Guys,11.63242,44.87003308,2001,Crime,NO
Dreamer: Inspired by a True Story,32.701088,32,2005,Drama,NO
Return to Never Land,48.423368,20,2002,Adventure,NO
The Hills Have Eyes,41.777564,15,2006,Horror,NO
The Last Godfather,0.163591,13.4,2010,Comedy,NO
Side Effects,32.15441,30,2013,Crime,YES
Adore,0.317125,16,2013,Drama,NO
Ida,3.826455,44.87003308,2013,Drama,YES
A Perfect Getaway,15.48354,14,2009,Adventure,NO
Shooter,46.975183,61,2007,Action,YES
The Love Guru,32.178777,62,2008,Comedy,NO
Shrek the Third,320.706665,160,2007,Adventure,NO
The Bourne Ultimatum,227.13709,110,2007,Action,YES
Surrogates,38.542418,80,2009,Action,NO
Sublime,47.23378622,1.8,2007,Horror,NO
11:14,47.23378622,6,2003,Comedy,YES
The Perfect Game,1.089445,12.5,2009,Comedy,YES
Swelter,47.23378622,8,2014,Action,NO
Battleship,65.17316,209,2012,Action,NO
The Brown Bunny,0.365734,10,2003,Drama,NO
The Cave,14.888028,30,2005,Adventure,NO
Pathology,0.108662,8,2008,Crime,NO
White Noise,55.865715,10,2005,Drama,NO
Made in Dagenham,1.094798,7.2,2010,Biography,YES
Abduction,28.064226,35,2011,Action,NO
"A Woman, a Gun and a Noodle Shop",0.190666,44.87003308,2009,Comedy,NO
Collateral,100.003492,65,2004,Crime,YES
The Frozen Ground,47.23378622,27.22,2013,Crime,NO
Original Sin,16.252765,42,2001,Drama,NO
Hustle & Flow,22.201636,8,2005,Crime,YES
The Hundred-Foot Journey,54.235441,22,2014,Comedy,YES
Rugrats Go Wild,39.39975,25,2003,Adventure,NO
Assault on Precinct 13,19.976073,20,2005,Action,NO
Jonah Hex,10.539414,47,2010,Action,NO
Syriana,50.815288,50,2005,Drama,YES
Weekend,0.469947,0.12,2011,Drama,YES
The Rundown,47.592825,85,2003,Action,NO
Solitude,47.23378622,44.87003308,2014,Comedy,NO
A Man Apart,26.183197,36,2003,Action,NO
Khiladi 786,0.352684,44.87003308,2012,Action,NO
Flightplan,89.706988,55,2005,Drama,NO
Dolphins and Whales 3D: Tribes of the Ocean,7.518876,6,2008,Adventure,NO
Train,47.23378622,44.87003308,2008,Horror,NO
Journey 2: The Mysterious Island,103.812241,79,2012,Action,NO
Forget Me Not,47.23378622,1.3,2009,Horror,NO
Ca$h,0.046451,7,2010,Comedy,NO
High School Musical,47.23378622,4.2,2006,Comedy,NO
Just Go with It,103.028109,80,2011,Comedy,NO
Dracula 2000,33.000377,28,2000,Action,NO
Boyhood,25.3592,4,2014,Drama,YES
Double Take,0.020218,24,2001,Action,NO
Me and You and Everyone We Know,3.885134,2,2005,Comedy,YES
The Ghost Writer,15.523168,45,2010,Other,YES
From Paris with Love,23.324666,52,2010,Action,NO
Arn: The Knight Templar,47.23378622,25,2007,Action,NO
The Hunted,34.238611,55,2003,Action,NO
The Impossible,18.996755,45,2012,Drama,YES
Sweet November,25.178165,40,2001,Drama,NO
The Last Song,62.933793,20,2010,Drama,NO
Mr. Deeds,126.20332,50,2002,Comedy,NO
Moonlight Mile,6.830957,21,2002,Drama,NO
An American Girl Holiday,47.23378622,0.2,2004,Drama,YES
The Bubble,0.155972,1.5,2006,Comedy,YES
Torque,21.176322,40,2004,Action,NO
Must Love Dogs,43.894863,30,2005,Comedy,NO
Bathory: Countess of Blood,47.23378622,44.87003308,2008,Biography,NO
16 Blocks,36.883539,52,2006,Action,NO
Feast,47.23378622,3.2,2005,Action,NO
The Express,9.589875,40,2008,Biography,YES
Infamous,1.150403,13,2006,Biography,YES
The Hammer,0.442638,0.85,2007,Comedy,YES
The Last House on the Left,32.721635,15,2009,Crime,NO
Hidalgo,67.286731,100,2004,Action,NO
The Heat,159.578352,43,2013,Action,NO
Toy Story 3,414.984497,200,2010,Adventure,YES
Step Up,65.26901,12,2006,Crime,NO
Children of Men,35.286428,76,2006,Drama,YES
Meet Dave,11.802056,60,2008,Adventure,NO
The House of Mirth,3.041803,10,2000,Drama,YES
Cecil B. DeMented,1.276984,10,2000,Comedy,NO
Radio,52.277485,35,2003,Biography,NO
